web-scraper-order,web-scraper-start-url,month,about,headlines,sentiment,category
1720775637-387,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Mangaluru,"Prajadhwani Yatra: Congress vows to make Mangaluru IT, garment hub",positive,political
1720775637-388,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Environment,Former civil servants write to President on Great Nicobar island plan,positive,other
1720775637-389,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Text and Context,You should use shank’s mare to go to the gym from now on,positive,other
1720775637-390,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Bengaluru,Techie has narrow escape as metro site barricade falls on car,negative,technology
1720775637-391,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Sport,Haaland scores fourth hat-trick for Manchester City in 3-0 win over Wolves,positive,other
1720775637-392,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Sport,India women thrash Sri Lanka by 7 wickets in U-19 World Cup,positive,other
1720775637-393,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Mangaluru,World Konkani Centre announces two new awards from this year,positive,other
1720775637-394,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Chennai,Motorists want the service lane under Medavakkam flyover to be finished soon,positive,other
1720775637-395,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Mangaluru,K. Balachandra Hebbar appointed CPCRI director,positive,other
1720775637-396,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Kochi,"Ro-ro service to resume from Monday, says Kochi Corporation",positive,other
1720775637-397,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Telangana,"Revanth: Congress will win 14 seats in combined Mahabubanagar, asks Dalits and Girijans to bust feudal attitude of BRS leaders",positive,political
1720775637-398,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Telangana,People’s confidence in Modi rising: Vivek,positive,other
1720775637-399,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Sport,"Iga Swiatek, Coco Gauff lose at Australian Open; Sebastian Korda in 1st Slam quarterfinal",positive,other
1720775637-400,https://www.thehindu.com/archive/web/2023/01/22/,Jan,India,Supreme Court notice on Kerala GST law permitting levy of tax under repealed VAT regime,positive,other
1720775642-401,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,Road rage,negative,other
1720775642-402,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Tamil Nadu,"Chief Secretary holds meeting on jallikattu, gram sabhas",positive,other
1720775642-403,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Tamil Nadu,"DMK Ministers, legislators donate one month’s salary
for Namma School Foundation scheme",positive,other
1720775642-404,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,Four accomplices of notorious goon Om Prakash accused in Pattoor case surrender,negative,other
1720775642-405,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Telangana,Solve issues of farmers of Timmapur village or face their wrath: Gudur,negative,other
1720775642-406,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,"10 lakh youth to get employment, says Union Minister Khuba",positive,other
1720775642-407,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,"Hubballi sky dotted with myriad colours, as two-day kite festival begins",positive,other
1720775642-408,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,IOCL to organise safety clinics on use of gas cylinders and stoves across northern Karnataka,positive,other
1720775642-409,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,Multiple events mark beginning of Ballari Utsav 2023,positive,other
1720775642-410,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,Farmers’ leader Tikait to take up Plachimada relief issue,positive,other
1720775642-411,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Cricket,"India's unbeaten run in Women's U-19 T20 World Cup ends, go down to Australia by 7 wickets",positive,other
1720775642-412,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Mangaluru,Basti Vaman Shenoy Vishwa Konkani Seva Puraskar announced,positive,other
1720775642-413,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Chennai,What residents of Valmiki Nagar have done for Nature,positive,other
1720775642-414,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,One-year executive PG programme in management at IIMB records 100% placement,positive,other
1720775642-415,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Data,"The week in 5 charts | India’s financial assurance to Sri Lanka, Nepal plane crash, ASER 2022 and more",negative,other
1720775642-416,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,"Artistic creations that reflect progressive political statements make Biennale remarkable, says Zoya Hasan",positive,other
1720775642-417,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Chennai,Tuition eats into domestic budgets in Chennai’s slums,positive,other
1720775642-418,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Madurai,Foundation stone for Cruz Fernandez memorial in Thoothukudi,positive,other
1720775642-419,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Madurai,"Rajaji Children’s Park decries poor amenities, visitors demand better upkeep",negative,other
1720775642-420,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Telangana,13th SHE shuttle service flagged off in Cyberabad,positive,other
1720775642-421,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Telangana,Cars gutted in fire accident at Nampally,negative,other
1720775642-422,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Mangaluru,Four more trains to run on AC traction on Konkan Railway network,positive,other
1720775642-423,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Tamil Nadu,"Four faculty members to face severe punishment, de-promotion",negative,other
1720775642-424,https://www.thehindu.com/archive/web/2023/01/21/,Jan,India,"India’s legal landscape has undergone significant change, says CJI",positive,other
1720775642-425,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Cricket,Australia T20 veteran Dan Christian to retire after ongoing BBL,positive,other
1720775642-426,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Chennai,Taking baby steps towards a clean neighbourhood,positive,other
1720775642-427,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Mangaluru,"Assurances of ₹2,000 to women, 200 units of free power will be implemented if Congress comes to power: Parameshwar",positive,political
1720775642-428,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Chennai,Building momentum for the Swachh survey,positive,other
1720775642-429,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,Woman commits suicide after son’s arrest,negative,criminal
1720775642-430,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Telangana,Inorbit Durgam Cheruvu Run on Jan. 29,positive,other
1720775642-431,https://www.thehindu.com/archive/web/2023/01/21/,Jan,India,Employment days under Mahatma Gandhi National Employment Guarantee Scheme at a five-year low,positive,other
1720775642-432,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,NIA files chargesheet against 20 in Praveen Nettaru murder case,negative,criminal
1720775642-433,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Coimbatore,New DCP for Tiruppur North takes charge,positive,other
1720775642-434,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Mangaluru,"Cliff, scuba diving, slack lining introduced at St. Mary’s island near Udupi",positive,other
1720775642-435,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,A rice-loving wild elephant that raids ration shops drives residents of Kerala village up the wall,negative,other
1720775642-436,https://www.thehindu.com/archive/web/2023/01/21/,Jan,India,"Congress releases a ‘charge sheet’ against the Narendra Modi government, calls BJP the Bhrasht Jumla Party",negative,political
1720775642-437,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Karnataka,Use of crane to support metro reinforcement cage could have avoided collapse of structure: IISc expert,negative,other
1720775642-438,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Mangaluru,Rejuvenated Gangana Palla inside Kadri Park set for inauguration on Monday,positive,other
1720775642-439,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,Panel set up to devise policy for Thiruvananthapuram zoo management,positive,political
1720775642-440,https://www.thehindu.com/archive/web/2023/01/21/,Jan,Kerala,"Govt. figures on job creation fake, says Satheesan",positive,other
1720775646-441,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Kerala,Book on George the tiger released,positive,other
1720775646-442,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Sport,‘It’s about time… India needs another Vishy Anand’,positive,other
1720775646-443,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Mangaluru,MIA commissions automated parking system to ensure seamless entry and exit of vehicles,positive,other
1720775646-444,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Karnataka,State requires an outlook report to remove uncertainty in agriculture: CM,positive,other
1720775646-445,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Football,The inspirational Napoli sharpshooter coveted by England’s heavy-hitters,positive,other
1720775646-446,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Visakhapatnam,"Entrepreneurs should contribute to nation building, says Cyient founder in Visakhapatnam",positive,other
1720775646-447,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Tamil Nadu,Ramadoss announces a tour from Chennai to Madurai to raise consciousness about use of Tamil language,positive,other
1720775646-448,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Visakhapatnam,Rozgar Mela: Union Minister gives appointment letters to candidates in Visakhapatnam,positive,other
1720775646-449,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Tamil Nadu,Child Rights Watch writes to TN CM,positive,other
1720775646-450,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Visakhapatnam,Visakhapatnam: Walkathon held to mark the 20th death anniversary of Alwar Das,positive,other
1720775646-451,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Visakhapatnam,Visakhapatnam: Brain dead woman gives new lease of life to others,negative,other
1720775646-452,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Kerala,Ernakulam soars in waterbird count,positive,other
1720775646-453,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Kerala,Major tourism plan on the anvil for Varkala beach,positive,other
1720775646-454,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Visakhapatnam,"Visakhapatnam: GVMC served notices against around 200 unauthorised constructions in the last three weeks, says Commissioner",negative,other
1720775646-455,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Other Sports,PT Usha promises justice as IOA forms committee to probe allegations against WFI president,negative,other
1720775646-456,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Andhra Pradesh,Viral video of Tirumala temple is fake: TTD CVSO,negative,other
1720775646-457,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Kerala,BSNL cooperative society scam: court to pronounce verdict on anticipatory bail plea on Saturday,negative,other
1720775646-458,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Mangaluru,Everyone has the responsibility to handover a developed Udupi district to the next generation: Jayaprakash Hegde,positive,other
1720775646-459,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Andhra Pradesh,ANU Professors invited for UN conference in May,positive,other
1720775646-460,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Coimbatore,Man gets life term for murder in Tiruppur,negative,criminal
1720775646-461,https://www.thehindu.com/archive/web/2023/01/20/,Jan,India,Congress reinvigorates Article 370 debate on Day 2 of Bharat Jodo Yatra in Jammu and Kashmir,positive,political
1720775646-462,https://www.thehindu.com/archive/web/2023/01/20/,Jan,India,"India, Egypt to hold dialogue on defence ties during President Abdel Fattah El-Sisi’s visit",positive,other
1720775646-463,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Tamil Nadu,"Abhishek Raghuram, G.J.R. Krishnan feted at PSBB",positive,other
1720775646-464,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Kerala,CM to inaugurate super-speciality block at Alappuzha MCH today,positive,other
1720775646-465,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Mangaluru,All India Sports Meet begins at NIT-K,positive,other
1720775646-466,https://www.thehindu.com/archive/web/2023/01/20/,Jan,India,"Wrestling Federation must be dissolved, says the Congress",positive,political
1720775646-467,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Karnataka,Woman drives with man on bonnet of her car for nearly 3 km; five arrested for road rage,negative,criminal
1720775646-468,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Andhra Pradesh,"33,773 candidates to appear for preliminary test for police constable recruitment in NTR District",positive,other
1720775646-469,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Mangaluru,Sixth day and night Mangaluru Kambala on Sunday,positive,other
1720775646-470,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Vijayawada,Officials review arrangements for Republic Day celebrations at IGMC stadium in Vijayawada,positive,other
1720775646-471,https://www.thehindu.com/archive/web/2023/01/20/,Jan,India,Political support ‘essential’ to make Big Tech pay news publishers: French news association head,positive,technology
1720775646-472,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Mangaluru,"Projects worth ₹2,793 crore implemented and under execution in Udupi Assembly constituency",positive,other
1720775646-473,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Health,"India can lead efforts to find new TB vaccine, says WHO’s former chief scientist Soumya Swaminathan",positive,other
1720775646-474,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Karnataka,"Human Rights Commission raids Seshadripuram police station, rescues one from illegal detention",negative,other
1720775646-475,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Karnataka,Former city councillor arrested for assault on police officer,negative,criminal
1720775646-476,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Telangana,Police identify deceased in Venkatapur car burning case,negative,other
1720775646-477,https://www.thehindu.com/archive/web/2023/01/20/,Jan,World,France's Macron announces multi-year increase in defence spending,positive,other
1720775646-478,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Telangana,History sheeter murdered in Punjagutta,negative,criminal
1720775646-479,https://www.thehindu.com/archive/web/2023/01/20/,Jan,World,Two attacks kill 18 in Burkina Faso: security sources,negative,other
1720775646-480,https://www.thehindu.com/archive/web/2023/01/20/,Jan,Tamil Nadu,"DMK raking up ‘Tamizhagam’ row to cover up its failures, says BJP",negative,other
1720775649-481,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kochi,"Priority projects to be identified in consultation with CM, says K. V. Thomas",positive,other
1720775649-482,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kochi,Energy Management Centre to commission energy audits in 10 plastic MSMEs in Ernakulam,positive,other
1720775649-483,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kozhikode,Three nabbed with MDMA in Kozhikode,negative,other
1720775649-484,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Tennis,"Brooksby tops No. 2 Ruud; Jabeur out, too; Djokovic wins",positive,other
1720775649-485,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kochi,Surendran slams State government,negative,political
1720775649-486,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Visakhapatnam,"Man, two daughters found dead in Visakhapatnam; police launch probe",negative,other
1720775649-487,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,Muslim Jamaath’s Sunni ideology meet today,positive,other
1720775649-488,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,SSLC exam registration begins,positive,other
1720775649-489,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,Funding for PSU strengthening: Industries Minister holds discussions with banks,positive,other
1720775649-490,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,IIITK inks MOU for research in quantum finance,positive,business
1720775649-491,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,Revamp of Kerala State GST department completed,positive,other
1720775649-492,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Telangana,"Microsoft plans three more data centres in Telangana with ₹16,000 cr.",positive,other
1720775649-493,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Tamil Nadu,"Arts and literature are reasons Tamil, Tamil Nadu have lived through ages, says Stalin",positive,other
1720775649-494,https://www.thehindu.com/archive/web/2023/01/19/,Jan,World,The political flux in Pakistan,negative,other
1720775649-495,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Other States,AAP should not run Punjab from Delhi by ‘remote control’: Rahul Gandhi,positive,other
1720775649-496,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Tamil Nadu,"India’s export of spices growing, say experts",positive,other
1720775649-497,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Kerala,Spine surgery for spinal muscular atrophy-affected children to be done at Thiruvananthapuram MCH,positive,other
1720775649-498,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Business,Happiest Minds Tech Q3 net rises 17.7%,positive,technology
1720775649-499,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Education,"COVID-19 did not force girls to exit schools early, says study",positive,health
1720775649-500,https://www.thehindu.com/archive/web/2023/01/19/,Jan,Andhra Pradesh,"IOCL will set up 200 more EV charging stations in A.P., says executive director",positive,other
